0,Politics,"there are also events being organised where residents are invited to get a protest tattoo to raise funds for the civil disobedience movement
 
",1371132765513478149
1,India,"the uae had in 2016 created the post of minister of state for happiness
 
",1371132764955635720
2,India,"aiadmk releases manifesto for upcoming #tamilnadu polls
( )
#itvideo ",1371132734500839427
3,Covid 19,"#punjab chief secretary vini mahajan on sunday reviewed the emergency measures to tackle the peak in #covid19 cases and expressed concern over the third peak with 1515 positive cases reported

photo: ians (file) ",1371132599310057481
4,Finance,"rt : #indvseng

when ishan kishan burst into the domestic team as a fresh-faced teenager his senior teammates spun a nickna",1371132221705261058
5,Vaccine,our herd immunity has not increased to such a level that we may become careless (about covid-19):  former sec indian medical association tells swati joshi on  special edition  #covidsurgealarm ,1371132121608118273
6,Finance,rt : #indveng  only former australian captain ricky ponting (15440) and south africa legend graeme smith (14878) had achieved t,1371132100347269121
7,Politics,rt : the mid-day meal (mdm) scheme which provides a cooked meal to students of primary and upper primary classes benefited,1371132097159524352
8,Finance,terrorist killed in encounter in jamp;k's shopian ,1371131718132895750
9,Finance,pakistani drone spotted in punjab's bamial returns after bsf opens fire ,1371131589187440643
10,Politics,#wethepeople  the idea of reserving jobs for locals came during the cm's padyatra during the padyatra he often heard that many educated youth couldn't get jobs despite many industries in the area: m goutham reddy industries minister andhra pradesh ,1371131368650862596
11,Covid 19,complete lack of adherence to covid appropriate behaviour is the main reason behind the sudden spike in covid cases:  member covid task force  maharashtra tells swati joshi on  special edition  #covidsurgealarm ,1371131251113926660
12,Covid 19,"india has registered over 25000 cases in the last 24 hours which is the highest in nearly 3 months restrictions have been imposed in several cities nearly 3 crore vaccine doses have been administered in india

 special edition with swati joshi  #covidsurgealarm ",1371130574874677249
13,India,"bjp bengal in-charge kailash vijayvargiya slams #mamatabanerjee
#itvideo ",1371130091862777856
14,Vaccine,"rt : check out the official photos of #mehreenpirzada and #bhavyabishnoi's engagement and their dance video
",1371129909041451012
15,India,"battleground bengal: bjp announces candidates list for 3rd and 4th phase; babul supriyo swapan dasgupta locket chatterjee
 in fray 

take a look at the top reactions  #may2withtimesnow 
   special edition with swati joshi ",1371129691403264003
16,Finance,rt : for brazilian player laura pigossi clinching the 25000 womens itf championships singles title on sunday is a gratifyin,1371129689989783553
17,India,"lathika subhash shaved her head sitting at the front courtyard of the party office as a mark of protest for denying ticket #keralaassemblypolls 

",1371129063595737095
18,Politics,"a small part of the indian workforce working from home could have a huge impact on commercial real estate and low-wage support jobs
 
",1371128991915122702
19,Politics,"rajnath said that the bjp-led government has sealed a major portion of the india-bangladesh border and installed electronic surveillance along the riverine stretch

",1371128925909254150
20,India,'mamata banerjee is a fighter a survivor she has been bruised she has been shot at during left regime if left couldn't stop her then how can bjp stop her now' asks tmc's tmc on  spl ed with swati joshi  #mamataincidentreportexclusive ,1371128790198349824
21,India,"the tmc said it disagrees with the election commission's observation that there was no pre-meditated attack on #mamatabanerjee in #nandigram and demanded a high- level probe into the incident insisting the inquiry by election observers lacks credibility
",1371128627807481861
